,Team,Points Scored
0,Atlanta Hawks,9711
1,Boston Celtics,9671
2,New Orleans Pelicans,9270
3,Chicago Bulls,9276
4,Cleveland Cavaliers,9205
5,Dallas Mavericks,9366
6,Denver Nuggets,9495
7,Detroit Pistons,9045
8,Golden State Warriors,9753
9,Houston Rockets,9081
10,Indiana Pacers,9535
11,LA Clippers,9314
12,Los Angeles Lakers,9608
13,Miami Heat,8977
14,Milwaukee Bucks,9589
15,Minnesota Timberwolves,9381
16,Brooklyn Nets,9295
17,New York Knicks,9514
18,Orlando Magic,9136
19,Philadelphia 76ers,9448
20,Phoenix Suns,9319
21,Portland Trail Blazers,9299
22,Sacramento Kings,9898
23,San Antonio Spurs,9269
24,Oklahoma City Thunder,9633
25,Utah Jazz,9600
26,Washington Wizards,9279
27,Toronto Raptors,9254
28,Memphis Grizzlies,9587
29,Charlotte Hornets,9098
